Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
State Vector Update	516000	MISSION_TIME							-1	1	P27 Auto Update		
Perform P52 IMU Realign (REFSMMAT)	517500	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
Copy Block Data 16	519060	MISSION_TIME							-1	1			
P22 Orbital Navigation									-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
Fuel Cell O2 Purge	522000	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Perform P52 IMU Realign (REFSMMAT)	522900	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
Copy Landmark Tracking PAD	523800	MISSION_TIME							-1	1			
P22 Orbital Navigation	524400	MISSION_TIME							-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
P23 Moon/Star Sighting	528000	MISSION_TIME							-1	1	P23 Cislunar Navigation		
State Vector Update	529800	MISSION_TIME							-1	1	P27 Auto Update		
G&N Power Down	532800	MISSION_TIME							-1	1	G&N Power Down		
H2 PURGE LINE HTR - ON	540300	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	1	1			
Fuel Cell H2 Purge	541500	MISSION_TIME							-1	1	Fuel Cell H2 Purging		
H2 PURGE LINE HTR - OFF	542400	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	0	1			
ECS Redundant Component Check	547200	MISSION_TIME							-1	1	ECS Redundant Component Check		
Copy Block Data 17	553620	MISSION_TIME							-1	1			
Fuel Cell O2 Purge	554400	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Record Systems Data (Column 8)	572400	MISSION_TIME							-1	0			
G&N Power Up	578400	MISSION_TIME		Ninth Period of Activities					-1	1	G&N Power Up		
Perform P51 IMU Orientation									-1	1	P51 IMU Orientation		
Copy Maneuver PAD	580680	MISSION_TIME							-1	1			
State Vector Update									-1	1	P27 Auto Update		
Perform P52 IMU Realign (Nominal) GET Align: 161:30:00	581400	MISSION_TIME							-1	1	P52 IMU Realign (Nominal)		
Copy Block Data 18	583140	MISSION_TIME							-1	1			
Waste Water Dump	585000	MISSION_TIME							-1	1	Waste Water Dump		
Fuel Cell O2 Purge	589200	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Perform P30 - External DV	590400	MISSION_TIME							-1	1	P30 External DV		
Update REFSMMAT for burn	591300	MISSION_TIME							-1	1	Update REFSMMAT For Burn		
Perform P52 IMU Realign (Preferred)									-1	1	P52 IMU Realign (Preferred)		
Perform P40 SPS Thrusting with MTVC Takeover	592200	MISSION_TIME							-1	1	SCS SPS Thrusting with MTVC		
Perform P52 IMU Realign (Nominal) GET Align: 167:26:00	597000	MISSION_TIME							-1	1	P52 IMU Realign (Nominal)		
PTC Initiation Test (T0: 167:00:00)	598200	MISSION_TIME							-1	1	Start PTC		
Terminate PTC	603960	MISSION_TIME							-1	1	Terminate PTC		
Begin SPS Propellant Thermal Control Test	604500	MISSION_TIME							-1	1	Begin SPS Thermal Control Test		
State Vector Update	608400	MISSION_TIME							-1	1	P27 Auto Update		
End SPS Propellant Thermal Control Test	615600	MISSION_TIME							-1	1	End SPS Thermal Control Test		
G&N Power Down	616800	MISSION_TIME							-1	1	G&N Power Down		
Fuel Cell O2 Purge	617400	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Copy Block Data 19	621720	MISSION_TIME							-1	1			
ECS Redundant Component Check	626400	MISSION_TIME							-1	1	ECS Redundant Component Check		
Copy Block Data 20	651360	MISSION_TIME							-1	1			
Record Systems Data (Column 9)	651600	MISSION_TIME							-1	0			
Fuel Cell O2 Purge	658800	MISSION_TIME		Tenth Period of Activities					-1	1	Fuel Cell O2 Purging		
Begin Secondary Coolant Loop Test	661200	MISSION_TIME							-1	1	Secondary Coolant Loop Test		
Inverter Changeover	674400	MISSION_TIME							-1	1	Inverter Changeover		
End Secondary Coolant Loop Test	687600	MISSION_TIME							-1	1	End Secondary Coolant Loop Test		
Copy Block Data 21	692220	MISSION_TIME							-1	1			
G&N Power Up	693600	MISSION_TIME							-1	1	G&N Power Up		
Perform P53 Backup IMU Orientation									-1	1	P53 Backup IMU Orientation		
Perform P54 Backup IMU Realign (REFSMMAT)									-1	1	P54 Back IMU Realign (REFSMMAT)		
Perform P52 IMU Realign (Nominal)	696900	MISSION_TIME							-1	1	P52 IMU Realign (Nominal)		
Waste Water Dump	698400	MISSION_TIME							-1	1	Waste Water Dump		
G&N Power Down	701100	MISSION_TIME							-1	1	G&N Power Down		
Fuel Cell O2 Purge	702000	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
ECS Redundant Component Check	703800	MISSION_TIME							-1	1	ECS Redundant Component Check		
O2 Stratification Test	709200	MISSION_TIME							-1	1	O2 Stratification Test		
Copy Block Data 22	726900	MISSION_TIME							-1	1			
Record Systems Data (Column 10)	734400	MISSION_TIME							-1	0			
G&N Power Up	738000	MISSION_TIME							-1	1	G&N Power Up		
Perform P51 IMU Orientation									-1	1	P51 IMU Orientation		
Copy Maneuver PAD	739500	MISSION_TIME							-1	1			
State Vector Update									-1	1	P27 Auto Update		
Perform P30 - External DV	741600	MISSION_TIME							-1	1	P30 External DV		
